Algorithm,Best Fitness,Worst Fitness,Success Rate (%),Avg. Run Time (s)
PSO,8.808037e-06,9.716390e-05,100.0,0.041
ACO,1.309451e+01,2.053145e+01,0.0,0.224
Firefly,3.941421e+00,1.758579e+01,0.0,0.946
