Algorithm,Best Fitness,Worst Fitness,Success Rate (%),Avg. Run Time (s)
PSO,5.029573e-09,9.949595e-01,20.0,0.020
ACO,6.923154e+00,3.794530e+01,0.0,0.231
Firefly,1.010870e+00,1.528319e+01,0.0,0.820
