Algorithm,Best Fitness,Worst Fitness,Success Rate (%),Avg. Run Time (s)
PSO,4.136490e-03,1.483498e+00,20.0,0.019
ACO,6.345443e+01,7.138293e+03,0.0,0.244
Firefly,1.749026e-01,1.817191e+03,0.0,1.031
